amir_eranshahrlibrary_source
cat_one,cat_two,path
Human,Full Body,Human/Full Body/5.png
Object,Weapons,Object/Weapons/7.png
Human,Uncategorized,Human/Uncategorized/8.png
Object,Misc,Object/Misc/9.png
Animal,Bird,Animal/Bird/10.png
Animal,Bird,Animal/Bird/11.png
Human,Uncategorized,Human/Uncategorized/12.png
Terrain,Rocks,Terrain/Rocks/13.png
Animal,Bird,Animal/Bird/14.png
Plant,Tree,Plant/Tree/15.png
Architecture,Uncategorized,Architecture/Uncategorized/16.png
Human,Full Body,Human/Full Body/17.png
Animal,Mammal,Animal/Mammal/18.png
Human,Soldier,Human/Soldier/19.png
Human,Full Body,Human/Full Body/20.png
Human,Full Body,Human/Full Body/21.png
Human,Full Body,Human/Full Body/22.png
Human,Full Body,Human/Full Body/24.png
Animal,Mammal,Animal/Mammal/25.png
Human,Uncategorized,Human/Uncategorized/26.png
Plant,Tree,Plant/Tree/27.png
Animal,Mammal,Animal/Mammal/28.png
Human,Full Body,Human/Full Body/29.png
Human,Uncategorized,Human/Uncategorized/30.png
Human,Full Body,Human/Full Body/31.png
Mythical Creature,Div,Mythical Creature/Div/32.png
Plant,Tree,Plant/Tree/33.png
Animal,Mammal,Animal/Mammal/34.png
Animal,Mammal,Animal/Mammal/35.png
Object,Fruits,Object/Fruits/36.png
Human,Full Body,Human/Full Body/37.png
Terrain,Cloud,Terrain/Cloud/38.png
Human,Full Body,Human/Full Body/39.png
Human,Uncategorized,Human/Uncategorized/40.png
Human,Full Body,Human/Full Body/41.png
Plant,Tree,Plant/Tree/42.png
Plant,Tree,Plant/Tree/43.png
Plant,Tree,Plant/Tree/44.png
Human,Full Body,Human/Full Body/45.png
Human,Uncategorized,Human/Uncategorized/46.png
Terrain,Rocks,Terrain/Rocks/47.png
Plant,Tree,Plant/Tree/48.png
Human,Uncategorized,Human/Uncategorized/49.png
Plant,Bush,Plant/Bush/50.png
Mythical Creature,Uncategorized,Mythical Creature/Uncategorized/51.png
Human,Accessories,Human/Accessories/52.png
Plant,Bush,Plant/Bush/53.png
Terrain,Rocks,Terrain/Rocks/54.png
Human,Woman,Human/Woman/55.png
Human,Woman,Human/Woman/56.png
Terrain,Rocks,Terrain/Rocks/57.png
Human,Full Body,Human/Full Body/58.png
Human,Uncategorized,Human/Uncategorized/59.png
Animal,Mammal,Animal/Mammal/60.png
Human,Full Body,Human/Full Body/61.png
Uncategorized,Uncategorized,Uncategorized/Uncategorized/62.png
